Tipus de carburant,ESTACIÓ DE SERVEI,ADREÇA,MARCA,PREU
Gasolina sense plom de 95 octans,,Adreça desconeguda,TOTAL," 0,001/l "
Gasolina sense plom de 95 octans,,Adreça desconeguda,TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,,Adreça desconeguda,TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Sant Marc,"CG2 km 9 Canillo, Racons",BP," 1,189/l "
Gasolina sense plom de 95 octans,Arap Esso VI,CG2 km 16.3 Incles,ESSO," 1,196/l "
Gasolina sense plom de 95 octans,Elf Envalira - La Rosa,CG2 km 20.3 Bordes d'Envalira,ELF," 1,198/l "
Gasolina sense plom de 95 octans,Tarrado,"Av. Sant Joan de Caselles, s/n",TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Total Canillo,CG2 km 10.1 Canillo,TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Cierco IV,CG2 km 14.3 El Tarter,SHELL," 1,207/l "
Gasolina sense plom de 95 octans,Gasolinera del Parking Prat Sola,"Avda. Princep Benlloch 3, Encamp - Tel. 731 530",SOLÀ," 1,178/l "
Gasolina sense plom de 95 octans,Encamp Centre I,"Av. Copríncep Francès, 120 Encamp",BP," 1,189/l "
Gasolina sense plom de 95 octans,Encamp Centre II,"Av. Copríncep Francès, 84 Encamp",BP," 1,189/l "
Gasolina sense plom de 95 octans,Arap Esso V,CG2 km 7 Encamp,ESSO," 1,196/l "
Gasolina sense plom de 95 octans,Arap Esso VII,CG2 km 20 Port d'Envalira,ESSO," 1,196/l "
Gasolina sense plom de 95 octans,CEPSA Encamp - La Bartra,CG2 km 3.0 Encamp,CEPSA," 1,198/l "
Gasolina sense plom de 95 octans,CEPSA Encamp - Nou vial,CG2 Km. 6 Encamp,CEPSA," 1,198/l "
Gasolina sense plom de 95 octans,Elf Encamp - Nou vial,CG2 Km. 6 Encamp,ELF," 1,198/l "
Gasolina sense plom de 95 octans,Elf Encamp Centre,"Av. Copríncep Episciopal, 121 Encamp",ELF," 1,198/l "
Gasolina sense plom de 95 octans,Elf Port d'Envalira,CG2 km 30.0 Port d'Envalira,CEPSA," 1,198/l "
Gasolina sense plom de 95 octans,Total Pic Blanc,CG2 km 27.8 Port d'Envalira,TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Total Port d'Envalira,CG2 km 27.2 Port d'Envalira,TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Cierco III,CG2 km 3.0 Encamp,SHELL," 1,207/l "
Gasolina sense plom de 95 octans,Repsol Encamp,"Av. Copríncep Francès, 84 Encamp",REPSOL," 1,209/l "
Gasolina sense plom de 95 octans,Gasopas,CG2 km 31.0 Pas de la Casa,GASOPAS," 1,219/l "
Gasolina sense plom de 95 octans,Elf Ordino,CG3 km 7.7 Ordino,ELF," 1,198/l "
Gasolina sense plom de 95 octans,Arap Esso IV,Av. Sant Antoni La Massana,ESSO," 1,196/l "
Gasolina sense plom de 95 octans,Elf La Massana,"Av. del Ravell, 13 La Massana",ELF," 1,198/l "
Gasolina sense plom de 95 octans,Total La Massana I,"Av. Sant Antoni 1, La Massana",TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Total La Massana II,"Av. Sant Antoni 2, La Massana",TOTAL," 1,202/l "
Gasolina sense plom de 95 octans,Arap Esso II,"Av. Santa Coloma, 130 Andorra La Vella",ESSO," 1,196/l "
Gasolina sense plom de 95 octans,CEPSA l'Obac,"Av. de Salou, 69 Andorra la Vella",CEPSA," 1,198/l "
Gasolina sense plom de 95 octans,CEPSA l'Orri - Autocentre,"C/ Prat de la Creu, 51, Andorra la Vella",CEPSA," 1,198/l "
Gasolina sense plom de 95 octans,CEPSA Oros  Avda. Tarragona Andorra,"Av. Tarragona, 83 Andorra la Vella",CEPSA," 1,198/l "
Gasolina sense plom de 95 octans,Elf Santa Coloma,"Av d'Enclar, 62 Andorra la Vella",ELF," 1,198/l "
Gasolina sense plom de 95 octans,STELA 1,AV.Princep Benlloch 91,GALP," 1,198/l "
